antecedent,consequent,support,confidence,lift
{6},{34},0.352,0.668,1.043
{6},{12},0.202,0.383,1.049
{6},{28},0.195,0.37,1.081
{6},{11},0.15,0.285,1.012
{6},{15},0.164,0.311,1.017
{6},{14},0.388,0.735,1.025
{6},{41},0.12,0.228,1.101
{6},{5},0.122,0.232,1.023
{6},{38},0.147,0.279,1.037
{6},{26},0.222,0.42,1.018
{6},{1},0.284,0.539,1.037
{6},{46},0.211,0.4,1.074
{6},{35},0.121,0.23,1.036
{6},{18},0.382,0.724,1.026
{6},{3},0.134,0.254,1.065
{6},{29},0.159,0.302,1.079
{6},{37},0.124,0.236,1.013
{6},{39},0.17,0.323,1.021
{6},{24},0.113,0.215,1.012
{6},{43},0.109,0.207,0.995
{6},{49},0.215,0.407,1.046
{6},{30},0.307,0.581,1.032
{6},{21},0.179,0.34,1.108
{6},{16},0.278,0.528,1.028
{6},{48},0.256,0.485,1.013
{6},{42},0.168,0.318,1.001
{6},{20},0.153,0.29,1.071
{6},{0},0.153,0.29,1.021
{6},{19},0.298,0.565,1.048
{6},{2},0.154,0.293,1.074
{6},{47},0.113,0.214,1.04
{6},{44},0.206,0.39,1.044
{6},{4},0.224,0.424,1.07
{6},{32},0.234,0.444,1.076
{6},{1 14},0.214,0.406,1.063
{6},{32 34},0.16,0.304,1.095
{6},{30 48},0.154,0.293,1.037
{6},{19 26},0.127,0.24,1.033
{6},{26 48},0.11,0.209,1.022
{6},{19 32},0.132,0.25,1.109
{6},{32 49},0.1,0.19,1.102
{6},{34 44},0.137,0.26,1.042
{6},{18 32},0.176,0.334,1.1
{6},{19 30},0.179,0.339,1.072
{6},{14 28},0.149,0.283,1.102
{6},{34 48},0.177,0.335,1.058
{6},{19 44},0.119,0.225,1.059
{6},{3 18},0.1,0.19,1.089
{6},{18 30},0.222,0.42,1.059
{6},{28 30},0.112,0.212,1.08
{6},{2 34},0.104,0.198,1.06
{6},{14 19},0.221,0.418,1.047
{6},{3 14},0.1,0.19,1.085
{6},{34 38},0.104,0.197,1.098
{6},{1 21},0.107,0.202,1.164
{6},{16 19},0.161,0.306,1.067
{6},{16 46},0.113,0.215,1.094
{6},{19 34},0.204,0.387,1.076
{6},{14 32},0.173,0.327,1.093
{6},{18 34},0.262,0.497,1.064
{6},{28 34},0.135,0.256,1.112
{6},{16 26},0.12,0.228,1.026
{6},{18 49},0.163,0.31,1.095
{6},{14 30},0.235,0.445,1.056
{6},{1 28},0.111,0.211,1.117
{6},{18 42},0.12,0.227,1.013
{6},{11 18},0.112,0.212,1.034
{6},{2 14},0.119,0.225,1.115
{6},{16 44},0.113,0.214,1.093
{6},{19 21},0.106,0.201,1.153
{6},{4 30},0.14,0.266,1.102
{6},{14 18},0.29,0.549,1.041
{6},{18 21},0.134,0.255,1.145
{6},{4 16},0.12,0.227,1.112
{6},{16 48},0.137,0.26,1.049
{6},{16 18},0.204,0.387,1.05
{6},{12 16},0.116,0.221,1.099
{6},{14 34},0.265,0.503,1.059
{6},{1 32},0.132,0.25,1.108
{6},{0 18},0.109,0.207,1.006
{6},{14 49},0.164,0.311,1.077
{6},{14 42},0.127,0.242,1.033
{6},{1 30},0.175,0.331,1.067
{6},{19 28},0.111,0.211,1.113
{6},{0 14},0.117,0.223,1.048
{6},{4 34},0.157,0.299,1.109
{6},{26 32},0.1,0.19,1.117
{6},{14 15},0.12,0.228,1.034
{6},{15 18},0.124,0.235,1.057
{6},{34 39},0.117,0.222,1.06
{6},{26 30},0.131,0.249,1.019
{6},{14 21},0.137,0.259,1.115
{6},{30 44},0.12,0.228,1.054
