antecedent,consequent,support,confidence,lift
{23},{49},0.111,0.5,0.75
{23},{38},0.222,1.0,1.5
{23},{7},0.222,1.0,1.286
{23},{49 38},0.111,0.5,0.643
{23},{49 7},0.111,0.5,0.643
{23},{38 7},0.222,1.0,1.286
{23},{49 38 7},0.111,0.5,0.643
{7},{85},0.222,0.286,1.286
{7},{23},0.222,0.286,1.286
{7},{49},0.444,0.571,0.857
{7},{38},0.444,0.571,0.857
{7},{38 85},0.111,0.143,1.286
{7},{49 23},0.111,0.143,1.286
{7},{38 23},0.222,0.286,1.286
{7},{38 49},0.222,0.286,0.643
{7},{49 38 23},0.111,0.143,1.286
{49},{23},0.111,0.167,0.75
{49},{7},0.444,0.667,0.857
{49},{38},0.444,0.667,1.0
{49},{38 23},0.111,0.167,0.75
{49},{7 23},0.111,0.167,0.75
{49},{38 7},0.222,0.333,1.5
{49},{38 7 23},0.111,0.167,0.75
{85},{38},0.111,0.5,0.75
{85},{7},0.222,1.0,1.286
{85},{38 7},0.111,0.5,0.643
{38},{85},0.111,0.167,0.75
{38},{23},0.222,0.333,1.5
{38},{49},0.444,0.667,1.0
{38},{7},0.444,0.667,0.857
{38},{7 85},0.111,0.167,0.75
{38},{49 23},0.111,0.167,1.5
{38},{7 23},0.222,0.333,1.5
{38},{7 49},0.222,0.333,0.75
{38},{49 7 23},0.111,0.167,1.5
{38 85},{7},0.111,1.0,1.286
{7 85},{38},0.111,0.5,0.75
{49 23},{38},0.111,1.0,1.5
{49 23},{7},0.111,1.0,1.286
{49 23},{38 7},0.111,1.0,1.286
{38 23},{49},0.111,0.5,0.75
{38 23},{7},0.222,1.0,1.286
{38 23},{49 7},0.111,0.5,0.643
{7 23},{49},0.111,0.5,0.75
{7 23},{38},0.222,1.0,1.5
{7 23},{49 38},0.111,0.5,0.75
{7 49},{23},0.111,0.25,1.125
{7 49},{38},0.222,0.5,0.75
{7 49},{38 23},0.111,0.25,1.125
{38 49},{23},0.111,0.25,1.125
{38 49},{7},0.222,0.5,0.643
{38 49},{7 23},0.111,0.25,1.125
{7 38},{85},0.111,0.25,1.125
{7 38},{23},0.222,0.5,2.25
{7 38},{49},0.222,0.5,0.75
{7 38},{49 23},0.111,0.25,2.25
{49 38 23},{7},0.111,1.0,1.286
{49 7 23},{38},0.111,1.0,1.5
{38 7 23},{49},0.111,0.5,0.75
{38 7 49},{23},0.111,0.5,2.25
