age,gender,height,weight,attitude,prepare_hours,class_type,pass_rate,glasses,classhw,care,label
43,F,180,67,Serious,5,Physical,High,0,High,Yes,good
52,M,157,50,Serious,5,Physical,High,0,Low,Yes,good
36,M,161,42,Serious,3,Physical,High,1,High,Yes,good
52,M,162,54,Serious,6,Physical,High,1,High,Yes,good
28,M,179,41,Serious,0,Online,Low,1,Low,No,bad
48,F,159,48,Serious,6,Physical,High,1,High,Yes,good
36,F,140,88,Serious,5,Physical,High,1,Middle,Yes,good
55,F,179,62,Serious,4,Online,Low,1,Low,Yes,bad
41,F,177,42,Serious,4,Physical,High,0,Low,Yes,good
51,M,162,97,Free,0,Online,High,1,Low,No,bad
25,F,150,92,Free,4,Physical,High,1,Middle,No,bad
33,F,181,67,Serious,3,Physical,High,1,High,Yes,good
40,M,189,86,Serious,5,Online,Low,1,Low,Yes,bad
35,M,165,45,Serious,6,Physical,High,1,Low,Yes,good
57,M,155,80,Serious,2,Physical,Low,0,Middle,Yes,bad
45,F,180,91,Serious,5,Physical,High,0,Middle,Yes,good
25,M,170,72,Free,6,Physical,High,1,Middle,Yes,bad
54,F,150,91,Serious,2,Physical,Low,0,Middle,No,bad
48,F,185,54,Serious,4,Physical,High,0,Middle,Yes,good
60,F,161,60,Serious,1,Online,High,1,High,Yes,bad
38,M,149,84,Serious,6,Physical,Low,0,Middle,No,bad
46,F,160,42,Serious,5,Physical,High,0,High,Yes,good
37,F,178,40,Free,1,Online,Low,0,High,Yes,bad
45,M,182,98,Serious,4,Physical,High,1,Middle,Yes,good
38,F,186,74,Serious,4,Physical,High,0,High,Yes,good
49,F,161,82,Serious,4,Physical,High,0,High,Yes,good
26,F,152,51,Serious,6,Online,Low,1,Low,Yes,bad
36,M,153,68,Serious,5,Physical,High,1,Middle,Yes,good
58,M,154,97,Serious,4,Physical,High,1,Middle,Yes,good
44,M,182,78,Serious,6,Online,High,1,Low,No,bad
63,M,186,49,Serious,4,Online,Low,0,Low,Yes,bad
31,F,190,98,Serious,4,Physical,High,1,High,Yes,good
45,M,180,59,Free,6,Online,Low,1,High,No,bad
61,M,177,64,Free,2,Online,High,1,Middle,No,bad
34,M,147,51,Serious,3,Physical,High,0,High,Yes,good
31,M,157,80,Serious,5,Physical,High,0,High,Yes,good
26,F,172,80,Serious,3,Physical,High,1,Middle,Yes,good
36,F,189,91,Serious,6,Physical,High,0,Middle,Yes,good
53,M,173,45,Serious,4,Physical,High,0,Low,Yes,good
54,F,150,90,Serious,4,Online,High,0,High,Yes,bad
64,M,141,86,Serious,4,Physical,High,1,High,Yes,good
42,M,151,47,Serious,4,Physical,High,1,High,Yes,good
45,M,166,85,Serious,4,Online,Low,1,Middle,Yes,bad
48,M,158,93,Serious,6,Physical,Low,1,Middle,No,bad
33,M,164,74,Serious,3,Physical,High,0,Middle,Yes,good
39,F,145,100,Free,2,Physical,Low,1,Low,No,bad
36,F,140,67,Serious,1,Online,High,0,Low,No,bad
40,M,154,61,Serious,0,Online,Low,1,High,Yes,bad
45,M,165,65,Serious,5,Physical,High,1,Middle,Yes,good
34,F,154,42,Serious,4,Online,Low,0,Low,No,bad
42,F,149,56,Serious,3,Physical,High,1,Low,Yes,good
36,F,169,59,Serious,3,Physical,High,0,High,Yes,good
36,F,164,44,Free,5,Physical,High,1,Low,Yes,bad
41,F,143,59,Serious,4,Physical,High,0,Low,Yes,good
56,F,157,100,Serious,6,Physical,High,1,Middle,Yes,good
39,F,183,96,Free,5,Online,Low,0,Low,No,bad
51,M,186,72,Serious,4,Physical,Low,0,High,Yes,bad
48,M,180,51,Free,0,Online,Low,1,Middle,No,bad
25,F,172,87,Serious,4,Physical,High,1,Low,Yes,good
37,M,181,54,Serious,4,Physical,High,1,Low,Yes,good
57,M,187,69,Serious,3,Physical,High,1,High,Yes,good
37,M,149,40,Serious,3,Physical,High,0,Middle,Yes,good
56,F,164,43,Free,0,Physical,High,0,Middle,Yes,bad
56,F,184,54,Serious,4,Physical,High,1,Low,Yes,good
50,M,141,53,Serious,5,Physical,High,0,High,Yes,good
46,F,179,62,Serious,6,Physical,High,1,High,No,bad
43,M,157,91,Serious,6,Physical,High,1,Middle,Yes,good
64,M,187,82,Free,0,Physical,Low,0,High,No,bad
50,F,181,70,Free,2,Physical,High,0,Low,Yes,bad
48,M,179,76,Free,0,Online,Low,1,Middle,No,bad
62,M,150,65,Serious,5,Physical,High,0,High,Yes,good
35,M,181,80,Serious,5,Physical,High,1,Low,Yes,good
30,M,146,76,Free,1,Physical,High,0,Low,No,bad
39,F,186,57,Serious,3,Physical,High,1,Low,Yes,good
43,F,162,55,Serious,6,Physical,High,0,Middle,Yes,good
40,F,154,91,Free,5,Physical,High,1,Low,Yes,bad
36,M,163,56,Serious,4,Online,High,1,Low,No,bad
38,F,151,96,Serious,5,Physical,High,0,Low,Yes,good
42,F,158,49,Serious,3,Online,High,0,Low,No,bad
53,F,179,75,Serious,2,Physical,High,0,High,No,bad
45,F,171,52,Serious,6,Physical,High,0,High,Yes,good
61,M,152,92,Serious,6,Physical,High,1,Low,Yes,good
65,F,154,73,Serious,4,Physical,Low,0,Low,No,bad
50,M,165,66,Free,3,Online,High,1,Middle,No,bad
31,M,157,84,Serious,5,Physical,High,1,Low,No,bad
65,F,149,75,Serious,3,Physical,High,0,High,Yes,good
48,M,184,91,Serious,0,Physical,Low,1,Middle,No,bad
41,F,157,74,Free,2,Online,High,1,Low,Yes,bad
28,M,168,40,Serious,1,Online,High,1,Low,No,bad
53,F,145,84,Serious,5,Physical,High,0,Middle,Yes,good
42,F,151,60,Serious,4,Physical,High,0,High,Yes,good
48,M,176,74,Free,4,Physical,Low,0,Low,Yes,bad
38,F,166,98,Serious,6,Physical,High,1,Low,Yes,good
42,M,177,65,Serious,2,Physical,High,0,High,Yes,bad
59,F,175,70,Serious,2,Physical,Low,0,Low,No,bad
34,M,157,78,Serious,2,Online,Low,0,Middle,No,bad
